Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27DEC24-10000-C,-,-,,64.93948,-1.0401,5.09606,-,,0.99692,-,2.3,-,0.8475,0.8507,0.8535,121.68,2.3
BTC-27DEC24-10000-P,-,56.1,,-1.80367,-1.0401,5.09606,-,,-0.00308,0.0007,20.5,93.64,0.0006,0.001,0.0014,104.29,0.1
BTC-27DEC24-15000-C,-,1.4,,97.41937,-1.26295,7.62014,-,,0.99517,0.792,2,-,0.7735,0.7758,0.7795,100.24,2
BTC-27DEC24-15000-P,-,97.7,,-2.69536,-1.26295,7.62014,-,,-0.00483,0.0015,0.1,79.48,0.0011,0.0012,0.0015,82.88,1.8
BTC-27DEC24-20000-C,-,3.3,,126.10942,-2.88373,18.2448,-,,0.98696,0.735,1.7,60.11,0.7,0.703,0.7065,87.42,1.7
BTC-27DEC24-20000-P,1.1,79.3,,-7.37688,-2.88373,18.2448,-,,-0.01304,0.0035,20.8,71.26,0.0022,0.0036,0.005,81.71,0.1
BTC-27DEC24-25000-C,-,3.9,,150.89235,-5.29876,34.70318,-,,0.97221,0.6856,1.6,65.61,0.6285,0.6324,0.6355,79.86,1.6
BTC-27DEC24-25000-P,2.5,281.9,,-15.96553,-5.29876,34.70318,-,,-0.02779,0.0075,1,71.01,0.0065,0.0082,0.01,77.73,1
BTC-27DEC24-28000-C,-,-,,164.18784,-6.85493,46.14254,-,,0.96073,0.4685,1.4,66.08,0.587,0.591,0.5945,77.16,1.4
BTC-27DEC24-28000-P,1.2,197.5,,-22.69298,-6.85493,46.14254,-,,-0.03927,0.0115,3,69.63,0.01,0.0118,0.0135,74.71,13.7
BTC-27DEC24-29000-C,-,3.3,,168.44116,-7.35328,50.05275,-,,0.95658,0.647,1.4,66.2,0.5735,0.5772,0.581,76.28,1.4
BTC-27DEC24-29000-P,0.7,53.3,,-25.11398,-7.35328,50.05275,-,,-0.04342,0.0125,0.9,68.61,0.011,0.0131,0.0155,74.59,0.9
BTC-27DEC24-30000-C,-,11.1,,172.14045,-7.97957,54.62637,-,,0.95159,0.637,1.4,66.05,0.56,0.5639,0.5675,75.32,1.4
BTC-27DEC24-30000-P,5.1,115.7,,-28.089,-7.97957,54.62637,-,,-0.04841,0.014,0.5,68.85,0.013,0.0148,0.017,73.71,12.4
BTC-27DEC24-31000-C,-,2.8,,175.9726,-8.52145,58.917,-,,0.94677,0.475,1.4,66.34,0.547,0.5505,0.5545,74.8,1.4
BTC-27DEC24-31000-P,1.3,26.9,,-30.93117,-8.52145,58.917,-,,-0.05323,0.016,0.9,68.23,0.0145,0.0164,0.019,73.28,9.4
BTC-27DEC24-32000-C,-,-,,179.19206,-9.19679,63.86807,-,,0.94104,0.4095,1.4,66.36,0.534,0.5375,0.5415,74.17,1.4
BTC-27DEC24-32000-P,1.8,25.1,,-34.38603,-9.19679,63.86807,-,,-0.05896,0.0175,0.9,68.05,0.0165,0.0185,0.021,72.72,10
BTC-27DEC24-33000-C,-,0.5,,182.30842,-9.85193,68.80529,-,,0.93513,0.6125,1.2,66.18,0.521,0.5246,0.5285,73.43,1.2
BTC-27DEC24-33000-P,-,26,,-37.94397,-9.85193,68.80529,-,,-0.06487,0.022,0.8,67.7,0.0185,0.0206,0.023,72.05,10.9
BTC-27DEC24-34000-C,-,0.7,,185.1751,-10.52665,73.89174,-,,0.92886,0.5852,1.2,66.32,0.5085,0.5118,0.5155,72.62,1.2
BTC-27DEC24-34000-P,-,36.6,,-41.75161,-10.52665,73.89174,-,,-0.07114,0.023,0.8,67.22,0.0205,0.0229,0.0255,71.72,1.2
BTC-27DEC24-35000-C,-,-,,187.80521,-11.21439,79.09135,-,,0.92223,0.369,1.2,65.8,0.4955,0.4993,0.503,72.13,1.2
BTC-27DEC24-35000-P,-,262,,-45.79582,-11.21439,79.09135,-,,-0.07777,0.025,0.8,67.06,0.023,0.0254,0.028,71.26,10.2
BTC-27DEC24-36000-C,-,1.6,,190.35926,-11.86991,84.22476,-,,0.91547,0.573,1.2,66.02,0.4835,0.4868,0.491,71.92,1.2
BTC-27DEC24-36000-P,-,43.8,,-49.91608,-11.86991,84.22476,-,,-0.08453,0.0285,0.8,67.16,0.026,0.0279,0.0295,69.93,1.5
BTC-27DEC24-37000-C,-,-,,192.125,-12.67939,89.96879,-,,0.90765,0.307,1.2,65.66,0.471,0.475,0.479,71.58,1.2
